Symbol,Name,MarketCap,Sector
AGX,"Argan, Inc.",$998.69M,Basic Industries
NSH,"Nustar GP Holdings, LLC",$998.63M,Energy
NSA,National Storage Affiliates Trust,$996.21M,Consumer Services
HK,Halcon Resources Corporation,$994.52M,Energy
CGG,CGG,$99.38M,Energy
NE,Noble Corporation,$988.53M,Energy
FRO,Frontline Ltd.,$988.29M,Transportation
FBK,FB Financial Corporation,$987.81M,Finance
HIFR,"InfraREIT, Inc.",$980.2M,Consumer Services
LNN,Lindsay Corporation,$980.13M,Capital Goods
UNT,Unit Corporation,$977.77M,Energy
CPAC,Cementos Pacasmayo S.A.A.,$974.37M,Capital Goods
QHC,Quorum Health Corporation,$97.58M,Health Care
GLOP,GasLog Partners LP,$966.89M,Consumer Services
MTL,Mechel PAO,$965.75M,Basic Industries
NKE,"Nike, Inc.",$96.3B,Consumer Non-Durables
GFF,Griffon Corporation,$959.88M,Capital Goods
PJC,Piper Jaffray Companies,$952.79M,Finance
SVU,SuperValu Inc.,$950.5M,Consumer Non-Durables
UTX,United Technologies Corporation,$95.24B,Capital Goods
TD,Toronto Dominion Bank (The),$95.18B,Finance
ABEV,Ambev S.A.,$95.03B,Consumer Non-Durables
HLX,"Helix Energy Solutions Group, Inc.",$948.13M,Energy
BGC,General Cable Corporation,$947.95M,Basic Industries
SNOW,"Intrawest Resorts Holdings, Inc.",$944.19M,Consumer Services
STC,Stewart Information Services Corporation,$941.41M,Finance
EPE,EP Energy Corporation,$941.09M,Energy
UPS,"United Parcel Service, Inc.",$94.86B,Transportation
SLB,Schlumberger N.V.,$94.78B,Energy
CMO,Capstead Mortgage Corporation,$936.61M,Consumer Services
CAPL,CrossAmerica Partners LP,$936.59M,Energy
NCI,"Navigant Consulting, Inc.",$934.58M,Consumer Services
CPF,CPB Inc.,$932.85M,Finance
CEL,"Cellcom Israel, Ltd.",$931.57M,Public Utilities
BXC,BlueLinx Holdings Inc.,$93.51M,Capital Goods
TGH,Textainer Group Holdings Limited,$928.59M,Technology
KNL,"Knoll, Inc.",$927.45M,Consumer Durables
