ARC Resources Ltd.,ARX,Energy
ATCO Ltd. Class I Non-voting Shares,ACO.X,Industrials
ATS Automation Tooling Systems Inc.,ATA,Industrials
Advantage Oil & Gas Ltd.,AAV,Energy
Aecon Group Inc.,ARE,Industrials
Agnico Eagle Mines Limited,AEM,Energy
CI Financial Corp.,CIX,Financials
Cameco Corporation,CCO,Industrials
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN,Real Estate
Canadian Imperial Bank Of Commerce,CM,Financials
Canadian National Railway Company,CNR,Energy
Canadian Natural Resources Limited,CNQ,Energy
Canadian Pacific Railway Limited,CP,Energy
Canadian Real Estate Investment Trust,REF.UN,Real Estate
Canadian Tire Corporation Limited Class A Non-Voting Shares,CTC.A,Industrials
Canadian Utilities Limited Class A Non-Voting Shares,CU,Utilities
Canadian Western Bank,CWB,Financials
Dorel Industries Inc. Class B Subordinate Voting Shares,DII.B,Industrials
Dream Global Real Estate Investment Trust,DRG.UN,Real Estate
Dream Office Real Estate Investment Trust,D.UN,Real Estate
ECN Capital Corp.,ECN,Financials
Eldorado Gold Corporation,ELD,Industrials
Parex Resources Inc.,PXT,Industrials
Parkland Fuel Corporation,PKI,Energy
Pason Systems Inc.,PSI,Energy
Pembina Pipeline Corporation,PPL,Energy
Peyto Exploration & Development Corp.,PEY,Energy
Potash Corporation of Saskatchewan Inc.,POT,Energy
Power Corporation of Canada Subordinate Voting Shares,POW,Utilities
Power Financial Corporation,PWF,Financials
PrairieSky Royalty Ltd.,PSK,Financials
Premium Brands Holdings Corporation,PBH,Materials
Pretium Resources Inc.,PVG,Energy
Prometic Life Sciences Inc.,PLI,Energy
Quebecor Inc. Class B Subordinate Voting Shares,QBR.B,Energy
Raging River Exploration Inc.,RRX,Energy
Restaurant Brands International Inc.,QSR,Consumer
RioCan Real Estate Investment Trust,REI.UN,Real Estate
Ritchie Bros. Auctioneers Incorporated,RBA,Consumer
Rogers Communications Inc. Class B Non-voting Shares,RCI.B,Telecommunication
Royal Bank of Canada,RY,Financials
SNC-Lavalin Group Inc.,SNC,Telecommunication
Sandstorm Gold Ltd.,SSL,Health Care
Saputo Inc.,SAP,Consumer
Waste Connections Inc.,WCN,Energy
West Fraser Timber Co. Ltd.,WFT,Consumer
Wheaton Precious Metals Corp.,WPM,Energy
Whitecap Resources Inc.,WCP,Financials
Winpak Ltd.,WPK,Financials
Yamana Gold Inc.,YRI,Financials
