JPM, JPMORGAN CHASE & CO,Financials
RDS,ROYAL DUTCH SHELL PLC,Oil & Gas
GEC,GENERAL ELECTRIC COMPANY,Industrials
HSBC,HSBC HOLDINGS PLC,Financials
JMH,JARDINE MATHESON HOLDINGS LD,Industrials
INT,INTERNATIONAL BUSINESS MACHINES CORPORATION,Technology
BAT,BRITISH AMERICAN TOBACCO PLC,Consumer Goods
TOT,TOTAL S.A.,Oil & Gas
BP,BP PLC,Oil & Gas
BOE,BOEING CO.,Industrials
GL,GLAXOSMITHKLINE PLC,Health Care
BSF,BANCO SANTANDER S.A.,Financials
SCH,SCHLUMBERGER LD,Oil & Gas
HII,HONEYWELL INTERNATIONAL INCORPORATED,Industrials
BASF,BASF SE,Basic Materials
AS,ASTRAZENECA PLC,Health Care
JSH,JARDINE STRATEGIC HOLDINGS LD,Industrials
V,VODAFONE GROUP PLC,Telecommunications
DGC,DIAGEO PLC,Consumer Goods
RBG,RECKITT BENCKISER GROUP PLC,Consumer Goods
U,UNILEVER PLC,Consumer Goods
LBG,LLOYDS BANKING GROUP PLC,Financials
P,PRUDENTIAL PLC,Financials
RT,RIO TINTO PLC,Basic Materials
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,Financials
G,GLENCORE PLC,Basic Materials
TS,TELEFONICA SA,Telecommunications
SHI,SHIRE PLC,Health Care
B,BARCLAYS PLC,Financials
IB,IMPERIAL BRANDS PLC,Consumer Goods
NGP,NATIONAL GRID PLC,Utilities
PJSC,PJSC LUKOIL ,Oil & Gas
RBS,ROYAL BANK OF SCOTLAND GROUP PLC,Financials
BT,BT GROUP PLC,Telecommunications
HKL,HONG KONG LAND HOLDINGS LD,Financials
COM,COMPASS GROUP PLC,Consumer Services
STC,STANDARD CHARTERED PLC,Financials
BHP,BHP BILLITON PLC,Basic Materials
MMC,MARSH & MCLENNAN COS. INC,Financials
ABF,ASSOCIATED BRITISH FOODS PLC,Consumer Goods
CDSG,COMPAGNIE DE SAINT-GOBAIN,Industrials
CRH,CRH PLC,Industrials
AVI,AVIVA PLC,Financials
WPP,WPP PLC,Consumer Services
BAE,BAE SYSTEMS PLC,Industrials
RY,RYANAIR HOLDINGS PLC,Consumer Services
RELX,RELX PLC,Consumer Services
SKY,SKY PLC,Consumer Services
RRH,ROLLS-ROYCE HOLDINGS PLC,Industrials
LGG,LEGAL & GENERAL GROUP PLC,Financials
